customer_id,city,region,city_tier,age_band,gender,occupation,monthly_income_inr,diet_preference,fitness_goal,current_mood_state,primary_meal_occasion,preferred_cuisine,spice_preference,packaging_preference,preferred_order_channel,preferred_payment_mode,delivery_speed_preference,meal_plan_preference,price_sensitivity_score,health_orientation_score,convenience_need_score,personalization_interest_score,subscription_interest_score,social_media_influence_score,office_lunch_need_score,breakfast_need_score,indulgence_score,preferred_product_category_1,preferred_product_category_2,order_frequency_per_month,avg_order_value_inr,monthly_food_delivery_spend_inr,discount_response_pct,likely_to_try_moodmeal,bundle_affinity,subscription_propensity,health_segment,purchase_intent_score,purchase_intent_label,sales_funnel_stage,age_band_code,city_tier_code,purchase_intent_binary,bundle_affinity_code,subscription_propensity_code,sales_funnel_stage_code,fitness_goal_score,diet_preference_score,income_segment,avg_order_value_segment,monthly_spend_segment,wellness_index,value_seeking_index,digital_convenience_index,meal_need_intensity_index,customer_potential_score,priority_segment
MM100001,Kolkata,East,Metro,18-24,Female,Corporate Professional,16324,Non-Veg,Balanced Eating,Health-Focused,Breakfast,Mediterranean,Mild,Value/Functional,Zomato/Swiggy,UPI,Under 20 min,On-demand,30,76,93,81,51,36,88,100,29,Office Lunch & Subscription Packs,Personalised Healthy Meal Bowls,7,213,1387,5,1,Medium,Medium,High,92,Interested,High Intent Lead,1,1,1,2,2,3,8,6,Budget,Mass,Light,73.2,18.8,59.0,88.2,64.8,High Potential
MM100002,Bhubaneswar,East,Tier 2,45-54,Male,Corporate Professional,198135,Non-Veg,Comfort/Indulgence,Stressed,Lunch,South Indian,Medium,Eco-friendly,Quick Commerce,Credit/Debit Card,Planned/Subscription,On-demand,69,0,95,42,27,38,11,46,62,Comfort Food Combo Boxes,Breakfast & Snack Boxes,5,639,3193,34,1,Medium,Low,Low,42,Not Interested,Low Intent Lead,4,3,0,2,1,1,5,6,Premium,High Premium,Moderate,30.0,53.2,48.6,40.2,32.3,Low Potential
MM100003,Ahmedabad,West,Tier 1,25-34,Male,Corporate Professional,143547,Non-Veg,High Protein/Fitness,Health-Focused,Breakfast,Mediterranean,Spicy,Value/Functional,Quick Commerce,Cash on Delivery,20-40 min,On-demand,40,100,49,74,4,38,55,66,62,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,2,532,1068,9,1,Low,Low,High,67,Interested,Trial Ordered,2,2,1,1,1,4,9,6,Upper Affluent,Premium,Light,87.0,26.0,37.7,49.8,45.4,Nurture
MM100004,Kochi,South,Tier 2,45-54,Male,Entrepreneur/Freelancer,48891,Veg,High Protein/Fitness,Health-Focused,Mid-evening Snack,Indian,Spicy,Premium,Zomato/Swiggy,UPI,20-40 min,On-demand,66,62,65,72,93,41,48,5,28,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,5,467,2438,27,1,Medium,High,Medium,78,Interested,Trial Ordered,4,3,1,2,3,4,9,6,Mass Premium,Premium,Moderate,69.9,48.4,56.0,40.2,66.4,High Potential
MM100005,Delhi NCR,North,Metro,45-54,Male,Student,19124,Veg,Balanced Eating,Stressed,Breakfast,Fusion,Medium,Value/Functional,Own App/Website,UPI,Under 20 min,Weekly Subscription,55,95,66,58,35,45,77,90,44,Personalised Healthy Meal Bowls,Breakfast & Snack Boxes,4,373,1605,20,0,Low,Medium,High,67,Interested,Awareness/Consideration,4,1,1,1,2,2,8,6,Budget,Mid Premium,Light,81.8,39.2,45.7,71.2,49.9,Nurture
MM100006,Delhi NCR,North,Metro,25-34,Female,Creative/Media,53850,Vegan,Weight Loss,Stressed,Lunch,Fusion,Spicy,Premium,Corporate Bulk,UPI,Planned/Subscription,On-demand,59,61,52,71,50,33,25,51,30,Personalised Healthy Meal Bowls,Breakfast & Snack Boxes,4,420,1328,19,1,Low,Low,Medium,56,Not Interested,Low Intent Lead,2,1,0,1,1,1,10,10,Mass Premium,Premium,Light,82.4,41.0,43.9,38.6,47.9,Nurture
MM100007,Kolkata,East,Metro,25-34,Female,Corporate Professional,41732,Non-Veg,Balanced Eating,Health-Focused,Office Meal,Indian,Medium,Value/Functional,Quick Commerce,UPI,20-40 min,On-demand,92,69,83,69,74,87,63,11,72,Comfort Food Combo Boxes,Functional Beverages & Mood Drinks,6,334,1992,29,0,Medium,Medium,Medium,64,Interested,Awareness/Consideration,2,1,1,2,2,2,8,6,Mass Premium,Mid Premium,Light,70.0,63.6,67.2,52.4,58.6,Nurture
MM100008,Bengaluru,South,Metro,18-24,Male,Homemaker,21777,Veg,Comfort/Indulgence,Happy/Social,Lunch,Indian,Spicy,Value/Functional,Zomato/Swiggy,Cash on Delivery,Under 20 min,On-demand,51,57,66,100,34,73,46,28,42,Functional Beverages & Mood Drinks,Personalised Healthy Meal Bowls,5,190,908,29,0,Low,Low,Medium,75,Interested,Awareness/Consideration,1,1,1,1,1,2,5,6,Budget,Low Ticket,Light,55.6,41.1,59.5,45.3,54.4,Nurture
MM100009,Kolkata,East,Metro,35-44,Female,Corporate Professional,51890,Non-Veg,High Protein/Fitness,Stressed,Dinner,Indian,Medium,Eco-friendly,WhatsApp/Instagram,UPI,Planned/Subscription,On-demand,57,77,64,44,17,52,70,25,79,Comfort Food Combo Boxes,Office Lunch & Subscription Packs,5,410,2459,23,1,Low,Low,Medium,68,Interested,Awareness/Consideration,3,1,1,1,1,2,9,6,Mass Premium,Premium,Moderate,76.6,41.7,41.0,53.8,43.8,Low Potential
MM100010,Jaipur,North,Tier 2,35-44,Male,Healthcare/Service,111917,Veg,Balanced Eating,Health-Focused,Office Meal,South Indian,Medium,Eco-friendly,Quick Commerce,UPI,20-40 min,Weekly Subscription,63,71,59,78,79,29,100,57,60,Office Lunch & Subscription Packs,Personalised Healthy Meal Bowls,2,476,1170,24,1,Medium,High,High,61,Interested,Awareness/Consideration,3,3,1,2,3,2,8,6,Upper Affluent,Premium,Light,71.0,45.4,51.0,67.1,58.0,Nurture
MM100011,Chennai,South,Metro,18-24,Male,Corporate Professional,54305,Veg,Comfort/Indulgence,Stressed,Breakfast,Fusion,Spicy,Value/Functional,Quick Commerce,Credit/Debit Card,Planned/Subscription,Weekly Subscription,59,73,90,69,52,44,37,73,97,Comfort Food Combo Boxes,Breakfast & Snack Boxes,6,498,3156,19,0,Medium,Medium,High,49,Not Interested,Low Intent Lead,1,1,0,2,2,1,5,6,Mass Premium,Premium,Moderate,62.8,41.0,57.4,58.6,51.1,Nurture
MM100012,Indore,Central,Tier 2,35-44,Female,Corporate Professional,154796,Veg,Balanced Eating,Busy/Pressed for Time,Dinner,South Indian,Spicy,Premium,Zomato/Swiggy,UPI,20-40 min,Monthly Subscription,57,81,85,49,57,59,76,30,53,Office Lunch & Subscription Packs,Personalised Healthy Meal Bowls,6,516,2331,16,0,Medium,Medium,High,81,Interested,High Intent Lead,3,3,1,2,2,3,8,6,Premium,Premium,Moderate,75.4,38.6,55.6,62.6,58.8,Nurture
MM100013,Hyderabad,South,Metro,35-44,Male,Homemaker,79917,Veg,High Protein/Fitness,Happy/Social,Breakfast,Pan-Asian,Medium,Value/Functional,Quick Commerce,UPI,Under 20 min,Monthly Subscription,36,61,78,75,59,44,39,97,19,Personalised Healthy Meal Bowls,Breakfast & Snack Boxes,6,483,3560,20,1,Medium,Medium,Medium,82,Interested,High Intent Lead,3,1,1,2,2,3,9,6,Affluent,Premium,Moderate,69.4,28.8,56.0,63.6,62.4,High Potential
MM100014,Chennai,South,Metro,25-34,Female,Student,15222,Jain,Balanced Eating,Low Energy,Lunch,South Indian,Medium,Premium,WhatsApp/Instagram,Credit/Debit Card,20-40 min,Monthly Subscription,79,45,45,50,94,82,72,52,30,Breakfast & Snack Boxes,Functional Beverages & Mood Drinks,5,227,1396,21,0,Medium,High,Medium,37,Not Interested,Low Intent Lead,2,1,0,2,3,1,8,7,Budget,Mass,Light,61.8,52.9,54.0,58.6,48.4,Nurture
MM100015,Ahmedabad,West,Tier 1,55+,Female,Teacher/Academia,154079,Non-Veg,Balanced Eating,Happy/Social,Mid-evening Snack,Indian,Spicy,Premium,WhatsApp/Instagram,Cash on Delivery,20-40 min,Weekly Subscription,50,49,47,63,31,56,66,62,3,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,2,589,1350,15,1,Low,Low,Medium,63,Interested,High Intent Lead,5,2,1,1,1,3,8,6,Premium,High Premium,Light,61.0,34.2,42.6,53.0,43.0,Low Potential
MM100016,Chennai,South,Metro,25-34,Male,Corporate Professional,132896,Non-Veg,High Protein/Fitness,Busy/Pressed for Time,Lunch,Indian,Medium,Value/Functional,Zomato/Swiggy,UPI,Under 20 min,Monthly Subscription,85,61,100,63,19,93,53,36,60,Comfort Food Combo Boxes,Functional Beverages & Mood Drinks,3,552,1717,24,1,Medium,Low,Medium,68,Interested,High Intent Lead,2,1,1,2,1,3,9,6,Upper Affluent,High Premium,Light,69.4,57.6,64.0,51.2,45.7,Nurture
MM100017,Coimbatore,South,Tier 2,25-34,Male,Corporate Professional,138414,Veg,Balanced Eating,Stressed,Breakfast,Continental,Medium,Premium,Zomato/Swiggy,Wallet,Under 20 min,On-demand,29,100,55,80,23,66,100,91,72,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,6,573,2634,8,1,Low,Medium,High,77,Interested,High Intent Lead,2,3,1,1,2,3,8,6,Upper Affluent,High Premium,Moderate,84.0,19.6,49.2,83.0,56.0,Nurture
MM100018,Delhi NCR,North,Metro,25-34,Male,Homemaker,46920,Eggetarian,Weight Loss,Stressed,Lunch,Indian,Medium,Value/Functional,Zomato/Swiggy,UPI,Planned/Subscription,Weekly Subscription,93,58,65,49,60,32,33,2,12,Personalised Healthy Meal Bowls,Comfort Food Combo Boxes,8,426,3955,23,1,Medium,Medium,Medium,56,Not Interested,Low Intent Lead,2,1,0,2,2,1,10,7,Mass Premium,Premium,Moderate,73.6,61.5,44.7,39.4,51.8,Nurture
MM100019,Hyderabad,South,Metro,25-34,Non-binary,Corporate Professional,165236,Eggetarian,Convenience First,Happy/Social,Lunch,Pan-Asian,Medium,Value/Functional,Zomato/Swiggy,UPI,20-40 min,On-demand,39,48,56,76,74,50,23,36,36,Functional Beverages & Mood Drinks,Personalised Healthy Meal Bowls,4,551,1797,20,1,Medium,Medium,Medium,72,Interested,High Intent Lead,2,1,1,2,2,3,5,7,Premium,High Premium,Light,54.1,30.4,53.1,34.6,59.0,Nurture
MM100020,Kolkata,East,Metro,35-44,Male,Corporate Professional,141192,Veg,High Protein/Fitness,Low Energy,Late-night Craving,Indian,Medium,Eco-friendly,WhatsApp/Instagram,Credit/Debit Card,20-40 min,Weekly Subscription,44,51,64,56,60,64,83,43,21,Office Lunch & Subscription Packs,Functional Beverages & Mood Drinks,4,503,2379,12,1,Low,Medium,Medium,73,Interested,Awareness/Consideration,3,1,1,1,2,2,9,6,Upper Affluent,Premium,Moderate,64.9,29.6,52.2,61.6,52.6,Nurture
MM100021,Bengaluru,South,Metro,55+,Male,Retired,29077,Veg,High Protein/Fitness,Health-Focused,Lunch,Pan-Asian,Spicy,Value/Functional,Own App/Website,Wallet,Planned/Subscription,Monthly Subscription,74,85,89,98,97,81,54,44,68,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,3,412,1122,23,1,Medium,High,High,88,Interested,Repeat Customer,5,1,1,2,3,5,9,6,Budget,Premium,Light,80.2,51.1,77.0,52.0,74.5,High Potential
MM100022,Mumbai,West,Metro,35-44,Male,Retired,108933,Non-Veg,Balanced Eating,Stressed,Dinner,North Indian,Medium,Eco-friendly,Own App/Website,Credit/Debit Card,Under 20 min,On-demand,22,58,67,40,69,60,54,25,17,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,6,426,2782,18,1,Medium,Medium,Medium,78,Interested,Trial Ordered,3,1,1,2,2,4,8,6,Upper Affluent,Premium,Moderate,65.1,20.2,50.4,49.9,57.1,Nurture
